"Tijdstempel","In welke leeftijdsgroep val je?","Maak je gebruik van Social Media? Zo ja, kruis degene aan waar je gebruik van maakt:","Voel je je door Corona eenzamer?","Zijn er wel eens dingen die je anoniem wilt delen?","Als je ja gekozen hebt, hoe zou je dingen anoniem willen delen? Als je nee gekozen hebt mag je deze vraag overslaan.","Heb je wel eens gehoord van de Kindertelefoon?","Als je ja gekozen hebt, welke vormen van de kindertelefoon ken je? Als je nee gekozen hebt mag je deze vraag overslaan.","Hoe zou je het liefst benaderd willen worden door de Kindertelefoon voor informatie?","Op welke manier zou je de kindertelefoon het liefst willen benaderen? Kruis de opties aan die je het fijnst lijken"
"2021/09/17 9:23:11 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","E-mail;Instagram"
"2021/09/17 9:23:46 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen;Live Chat","Social Media","Bellen;E-mail;Live Chat;Whatsapp;Instagram;Facebook;TikTok;Snapchat"
"2021/09/17 9:24:03 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Twitter;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","Social Media","Bellen;Whatsapp;Instagram"
"2021/09/17 9:24:07 a.m. EET","13 - 14","TikTok;Whatsapp;YouTube;Twitch","Nee","Nee","Forum;E-mail","Ja","Bellen","Social Media","Bellen;Whatsapp"
"2021/09/17 9:24:16 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen;Live Chat","School;Social Media","Bellen;Live Chat;Whatsapp;Snapchat"
"2021/09/17 9:24:24 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","Bellen;Live Chat;Instagram;TikTok"
"2021/09/17 9:24:27 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen;Live Chat","School;Social Media","Bellen;E-mail;Live Chat;Whatsapp"
"2021/09/17 9:24:31 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Ja","Nee","","Ja","Bellen;Live Chat","School;Social Media;Advertenties (flyers, posters);Sportclubs","E-mail;Whatsapp;Instagram;Snapchat"
"2021/09/17 9:24:36 a.m. EET","13 - 14","Instagram;Facebook;Snapchat;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","School","Bellen;Whatsapp"
"2021/09/17 9:24:38 a.m. EET","13 - 14","Whatsapp","Ja","Nee","","Ja","Bellen;Live Chat","School;Social Media;Advertenties (flyers, posters);Sportclubs","E-mail;Whatsapp"
"2021/09/17 9:24:38 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen;Live Chat","School;Social Media","Bellen;E-mail;Live Chat;Whatsapp"
"2021/09/17 9:24:42 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","","School","Bellen"
"2021/09/17 9:24:44 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Ja","Nee","","Ja","Bellen","School;Advertenties (flyers, posters)","Bellen;E-mail;Live Chat"
"2021/09/17 9:24:54 a.m. EET","13 - 14","TikTok;Snapchat;Twitter;Whatsapp;YouTube","Ja","Nee","","Ja","Bellen;Forum","Social Media","Whatsapp;Instagram;TikTok;Twitter;Snapchat"
"2021/09/17 9:24:55 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","Sportclubs","Snapchat"
"2021/09/17 9:25:03 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","Snapchat"
